latitude,longitude,time_rel,gpsspeed
38.034624,-122.251113,134177,68.19925185
38.034844,-122.250912,134178,68.19977272
38.035065,-122.250709,134179,68.19694545
38.035285,-122.250505,134180,68.18794267
38.035508,-122.250299,134181,68.17432687
38.03573,-122.250093,134182,68.1613063
38.035951,-122.249888,134183,68.15580046
38.036171,-122.249687,134184,68.1613063
38.03639,-122.249485,134185,68.17432687
38.036608,-122.249282,134186,68.18794267
38.036829,-122.249076,134187,68.19709427
38.037053,-122.248871,134188,68.20059123
38.037275,-122.248665,134189,68.20066563
38.037497,-122.248459,134190,68.20014481
38.03772,-122.248253,134191,68.20014481
38.037938,-122.248046,134192,68.20066563
38.038154,-122.247833,134193,68.20044242
38.038367,-122.247609,134194,68.19627582
38.038575,-122.247378,134195,68.18667774
38.038776,-122.247138,134196,68.17678208
38.03897,-122.24689,134197,68.17693127
38.039156,-122.246635,134198,68.19397078
38.039338,-122.246377,134199,68.22209689
38.039518,-122.246119,134200,68.24471671
38.039698,-122.24586,134201,68.24873449
38.039877,-122.245598,134202,68.23541507
38.04006,-122.245333,134203,68.2171846
38.040243,-122.24507,134204,68.20520451
38.040426,-122.244808,134205,68.1976894
38.04061,-122.244548,134206,68.18109749
38.040793,-122.244291,134207,68.14590479
38.040973,-122.244034,134208,68.10022114
38.041153,-122.243774,134209,68.06755806
38.041334,-122.243511,134210,68.07127856
38.041516,-122.24325,134211,68.11651692
38.041698,-122.242989,134212,68.18385386
38.041878,-122.242732,134213,68.24293212
38.042059,-122.242474,134214,68.27291785
38.04224,-122.242217,134215,68.27031362
38.042427,-122.24196,134216,68.24761942
38.042611,-122.241699,134217,68.22901733
38.042793,-122.241438,134218,68.23072822
38.042977,-122.241179,134219,68.23816897
38.043159,-122.240921,134220,68.21622028
38.043337,-122.240664,134221,68.14918236
38.04352,-122.240406,134222,68.06912329
38.043705,-122.240143,134223,68.03817094
38.043888,-122.239882,134224,68.0931559
38.044069,-122.239621,134225,68.21331946
38.044252,-122.239363,134226,68.34003056
38.044431,-122.239108,134227,68.4102683
38.044613,-122.23885,134228,68.38593765
38.044796,-122.23859,134229,68.27492574
38.044982,-122.238326,134230,68.12261951
38.045168,-122.238067,134231,67.99003059
38.045349,-122.237811,134232,67.93043235
38.045527,-122.237556,134233,67.95297637
38.045709,-122.237298,134234,68.01629386
38.045892,-122.23704,134235,68.07328706
38.046075,-122.23678,134236,68.10468538
