latitude,longitude,speed_kph,time_seconds
39.734587,-105.214182,105.92,1325.0
39.734812,-105.214373,106.56,1326.0
39.73504,-105.214569,107.84,1327.0
39.735496,-105.214964,106.56,1329.0
39.735715,-105.21516,103.04,1330.0
39.735932,-105.215347,101.12,1331.0
39.73636,-105.215718,99.84,1333.0
39.736782,-105.21609,100.48,1335.0
39.736993,-105.216275,100.16,1336.0
39.737614,-105.216816,96.96,1339.0
39.73782,-105.216996,96.64,1340.0
39.738025,-105.217171,96.96,1341.0
39.738232,-105.21735,97.28,1342.0
39.738644,-105.217709,98.56,1344.0
39.739262,-105.21824,94.72,1347.0
39.740048,-105.218916,89.6,1351.0
39.740423,-105.21924,87.04,1353.0
39.742348,-105.220885,96.32,1363.0
39.742552,-105.221061,96.96,1364.0
39.743169,-105.221592,98.56,1367.0
39.743379,-105.221775,99.84,1368.0
39.744209,-105.222516,98.24,1372.0
39.74462,-105.222888,98.88,1374.0
39.744828,-105.223073,98.56,1375.0
39.745239,-105.223441,98.88,1377.0
39.745447,-105.223627,94.08,1380.0
39.74625,-105.224317,89.92,1382.0
39.746624,-105.224645,88.32,1384.0
39.747381,-105.225309,91.84,1388.0
39.747572,-105.225478,92.16,1389.0
39.747965,-105.225816,92.48,1391.0
39.748743,-105.226519,94.4,1395.0
39.748939,-105.226697,95.04,1396.0
39.749139,-105.226873,95.36,1397.0
39.749533,-105.227227,91.2,1399.0
39.749711,-105.227418,89.92,1400.0
39.750161,-105.228068,85.44,1403.0
39.750374,-105.228553,85.12,1405.0
39.750574,-105.229361,87.36,1408.0
39.750623,-105.229937,88.96,1410.0
39.750654,-105.23082,90.24,1413.0
39.750715,-105.231713,89.92,1416.0
39.75082,-105.232288,88.96,1418.0
39.751079,-105.233097,86.72,1421.0
39.751315,-105.233578,86.08,1423.0
39.752041,-105.234626,83.2,1428.0
39.752195,-105.234819,80.0,1429.0
39.75248,-105.235158,67.52,1431.0
39.752742,-105.235424,60.16,1433.0
39.753096,-105.235717,49.92,1436.0
39.753205,-105.235795,46.4,1437.0
39.753551,-105.235987,26.56,1441.0
39.753797,-105.236091,10.56,1446.0
39.753824,-105.236101,9.92,1447.0
39.753873,-105.236117,9.6,1449.0
39.753935,-105.236138,21.12,1451.0
39.754256,-105.236238,47.04,1455.0
39.754501,-105.236288,54.4,1457.0
39.754642,-105.236308,58.88,1458.0
39.754794,-105.236326,63.68,1459.0
39.754957,-105.23634,66.88,1460.0
39.755126,-105.236347,69.12,1461.0
39.755482,-105.236342,72.0,1463.0
39.755661,-105.236309,72.64,1464.0
39.75601,-105.236168,74.56,1466.0
39.756341,-105.235934,75.84,1468.0
39.756814,-105.235475,76.16,1471.0
39.756972,-105.235329,76.16,1472.0
39.757493,-105.234996,74.88,1475.0
39.757844,-105.23483,72.64,1477.0
39.758374,-105.234597,72.64,1480.0
39.758542,-105.234521,72.96,1481.0
39.759057,-105.234294,70.4,1484.0
39.759223,-105.234218,72.0,1485.0
39.759572,-105.234062,73.28,1487.0
39.760461,-105.233679,72.32,1492.0
39.760636,-105.233612,69.12,1493.0
39.761312,-105.23342,65.28,1497.0
39.76207,-105.233334,52.48,1502.0
39.762203,-105.233328,51.84,1503.0
39.762753,-105.233339,52.8,1507.0
39.762885,-105.233354,49.6,1508.0
39.76301,-105.23337,48.32,1509.0
39.763247,-105.233413,45.76,1511.0
39.76336,-105.233432,45.44,1512.0
39.763724,-105.23352,53.12,1515.0
39.763991,-105.233612,59.2,1517.0
39.76444,-105.2338,56.64,1520.0
39.764572,-105.233858,50.24,1521.0
39.764797,-105.233965,43.84,1523.0
39.764904,-105.234015,42.56,1524.0
39.765108,-105.234107,43.52,1526.0
39.765417,-105.234251,41.92,1529.0
39.765623,-105.234346,47.04,1531.0
39.765965,-105.234504,43.52,1534.0
39.766407,-105.23471,50.88,1538.0
39.766527,-105.234766,52.8,1539.0
39.767272,-105.235108,51.84,1545.0
39.767398,-105.235168,53.76,1546.0
39.767528,-105.23523,56.0,1547.0
39.767938,-105.235434,61.76,1550.0
39.76824,-105.235574,66.24,1552.0
39.768397,-105.235647,68.48,1553.0
39.768561,-105.235723,70.72,1554.0
39.769071,-105.235959,70.08,1557.0
39.769238,-105.236036,69.76,1558.0
39.769403,-105.236112,68.8,1559.0
39.770043,-105.236345,63.68,1563.0
39.770526,-105.236446,65.92,1566.0
39.770693,-105.236465,64.32,1567.0
39.770855,-105.236477,63.36,1568.0
39.771018,-105.236483,64.0,1569.0
39.771181,-105.236481,64.32,1570.0
39.771342,-105.23647,64.0,1571.0
39.771994,-105.236347,69.76,1575.0
39.772165,-105.236291,72.64,1576.0
39.772343,-105.236223,75.52,1577.0
39.772528,-105.236142,78.4,1578.0
39.7729,-105.235954,78.72,1580.0
39.773432,-105.235611,76.8,1583.0
39.773761,-105.235338,78.08,1585.0
39.774085,-105.235035,80.0,1587.0
39.774412,-105.234713,81.92,1589.0
39.774747,-105.234399,80.96,1591.0
39.774916,-105.234246,81.6,1592.0
39.775267,-105.233955,83.84,1594.0
39.775639,-105.233675,86.72,1596.0
39.775835,-105.233539,88.32,1597.0
39.776886,-105.232901,92.48,1602.0
39.777304,-105.232661,85.12,1604.0
39.777502,-105.232551,82.56,1605.0
39.777694,-105.232439,81.28,1606.0
39.778255,-105.232123,78.72,1609.0
39.778436,-105.23202,80.0,1610.0
39.778625,-105.231923,82.56,1611.0
39.779027,-105.231749,86.4,1613.0
39.779239,-105.231673,87.36,1614.0
39.779675,-105.231556,88.0,1616.0
39.779897,-105.231512,88.0,1617.0
39.780117,-105.231476,87.36,1618.0
39.780556,-105.231434,85.44,1620.0
39.781209,-105.231428,87.36,1623.0
39.781431,-105.231431,88.64,1624.0
39.781659,-105.231436,90.24,1625.0
39.781887,-105.231434,92.16,1626.0
39.782357,-105.231427,94.08,1628.0
39.782596,-105.231417,94.4,1629.0
39.784551,-105.23122,96.32,1637.0
39.785039,-105.231175,94.4,1639.0
39.785516,-105.231135,93.12,1641.0
39.785751,-105.231113,91.84,1642.0
39.785984,-105.23109,90.88,1643.0
39.786669,-105.231017,89.6,1646.0
39.786896,-105.23099,89.92,1647.0
39.787124,-105.23096,91.52,1648.0
39.787358,-105.230932,93.12,1649.0
39.787596,-105.230903,94.4,1650.0
39.787835,-105.23087,96.64,1651.0
39.78857,-105.230798,95.04,1654.0
39.788812,-105.230772,93.76,1655.0
39.789051,-105.230744,93.12,1656.0
39.789283,-105.230716,91.84,1657.0
39.789746,-105.230663,90.24,1659.0
39.790427,-105.230587,90.24,1662.0
39.790655,-105.230561,91.2,1663.0
39.790886,-105.230539,91.84,1664.0
39.791354,-105.230487,93.76,1666.0
39.791829,-105.230421,96.64,1668.0
39.792564,-105.230224,102.08,1671.0
39.793057,-105.230009,100.8,1673.0
39.793518,-105.229722,98.56,1675.0
39.793737,-105.229568,97.6,1676.0
39.793952,-105.229411,96.0,1677.0
39.794167,-105.229254,95.36,1678.0
39.794996,-105.228633,94.08,1682.0
39.795407,-105.228315,95.04,1684.0
39.795826,-105.227992,95.36,1686.0
39.796036,-105.227837,94.72,1687.0
39.796669,-105.22737,97.6,1690.0
