latitude,longitude,speed_kph,time_seconds
39.702859,-105.193417,117.12,1168.0
39.703157,-105.193362,116.16,1169.0
39.703446,-105.193305,115.52,1170.0
39.703734,-105.19325,114.56,1171.0
39.704305,-105.193135,114.24,1173.0
39.704592,-105.193079,113.92,1174.0
39.705164,-105.192966,112.96,1176.0
39.70545,-105.19291,112.64,1177.0
39.705732,-105.192855,111.68,1178.0
39.70657,-105.192697,111.68,1181.0
39.707969,-105.192421,111.36,1186.0
39.708529,-105.192309,110.08,1188.0
39.709353,-105.19223,106.56,1191.0
39.709624,-105.192248,105.6,1192.0
39.709886,-105.192297,105.28,1193.0
39.710401,-105.192476,104.96,1195.0
39.71112,-105.192942,107.52,1198.0
39.711579,-105.193333,108.16,1200.0
39.712032,-105.193736,106.88,1202.0
39.712697,-105.194339,105.28,1205.0
39.713139,-105.194735,106.56,1207.0
39.713584,-105.195144,109.44,1209.0
39.714044,-105.195567,112.64,1211.0
39.715675,-105.197046,108.48,1218.0
39.715911,-105.197232,107.84,1219.0
39.717697,-105.198006,104.32,1226.0
39.71796,-105.19805,103.36,1227.0
39.718221,-105.198089,103.36,1228.0
39.718744,-105.19816,103.04,1230.0
39.719516,-105.198262,98.88,1233.0
39.719764,-105.198296,96.96,1234.0
39.720971,-105.198451,93.12,1239.0
39.721207,-105.198473,93.76,1240.0
39.721682,-105.198512,94.72,1242.0
39.723386,-105.198544,86.08,1249.0
39.72381,-105.198557,77.76,1251.0
39.724201,-105.198627,77.76,1253.0
39.724391,-105.198693,77.76,1254.0
39.724575,-105.19878,77.76,1255.0
39.725488,-105.199722,78.72,1261.0
39.725598,-105.199937,80.32,1262.0
39.726144,-105.201447,86.08,1268.0
39.726659,-105.202318,81.92,1272.0
39.726816,-105.202496,82.88,1273.0
39.72698,-105.202677,84.16,1274.0
39.72732,-105.203026,87.36,1276.0
39.728038,-105.203736,90.24,1280.0
39.728217,-105.203925,90.88,1281.0
39.72839,-105.204124,92.48,1282.0
39.728558,-105.20434,93.44,1283.0
39.728712,-105.204572,93.76,1284.0
39.728991,-105.205069,95.04,1286.0
39.729116,-105.205334,95.04,1287.0
39.729229,-105.20561,95.04,1288.0
39.72947,-105.206482,93.44,1291.0
39.729642,-105.207378,92.48,1294.0
39.729701,-105.207675,92.16,1295.0
39.729762,-105.207969,90.56,1296.0
39.729898,-105.208537,88.32,1298.0
39.730061,-105.209077,87.36,1300.0
39.730153,-105.20934,88.64,1301.0
39.730377,-105.209847,89.28,1303.0
39.730646,-105.210327,92.48,1305.0
39.731114,-105.21102,90.24,1308.0
39.732008,-105.211953,94.72,1313.0
39.732414,-105.212302,97.92,1315.0
39.733259,-105.21304,102.72,1319.0
39.733473,-105.21323,103.68,1320.0
39.733692,-105.213417,104.0,1321.0
39.733917,-105.213608,104.64,1322.0
39.73414,-105.213799,104.64,1323.0
